"","�..V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","opp","rid","RISN","Q_TotalDuration","isNew","viga","eid","V","uig","cintid","ProjectToken","Field","gc","term","LS","Q35","MascotSupport_1","MascotSupport_2","MascotSupport_3","MascotSupport_4","MascotSupport_5","MascotSupport2_1","MascotSupport2_2","MascotSupport2_3","MascotSupport2_4","MascotSupport2_5","MascotSupport2_6","MascotSupport2_7","MascotSupport2_8","MascotSupport2_9","MascotSupport2_10","Invis1_1","Invis1_2","Invis1_3","Invis2_1","Invis2_2","Invis2_3","Invis2_4","Invis2_5","Invis3_1","Invis3_2","Invis3_3","Invis3_4","Invis3_5","Invis3_6","Invis3_7","Invis3_8","Invis3_9","Invis4_1","Invis4_2","Invis4_3","Invis4_4","Invis4_5","Invis4_6","Invis4_7","Invis5_1","Invis5_2","Invis5_3","Invis5_4","Invis5_5","Invis5_6","Invis5_7","Invis5_8","Invis5_9","Invis5_10","Invis5_11","Invis5_12","Invis5_13","Invis6_1","Invis6_2","Invis6_3","Invis6_4","Invis6_5","Invis6_6","Invis6_7","Invis6_8","Invis6_9","Invis6_10","Identity1_1","Identity1_2","Identity1_3","Identity1_4","Identity1_5","Identity1_6","Identity1_7","Identity2_1","Identity2_2","Identity2_3","Identity2_4","Identity3_1","Identity3_2","Identity3_3","Identity3_4","Identity4_1","Identity4_2","Identity4_3","Identity4_4","Identity5_1","Identity5_2","Identity6_1","Identity6_2","Identity6_3","Identity6_4","Identity7_1","Identity7_2","Identity7_3","Identity7_4","Identity7_5","Identity7_6","Identity7_7","Identity8_1","Identity8_2","Identity8_3","Identity8_4","Identity8_5","Identity8_6","Identity8_7","Identity9_1","Identity9_2","Identity9_3","Identity9_4","Identity9_5","Identity9_6","Identity9_7","Identity9_8","Identity9_9","Identity9_10","Identity9_11","Identity9_12","Identity9_13","Identity9_14","Identity9_15","Identity9_16","Identity9_17","Q29","Q29_TEXT","Q30","Q37","Q31","Q32","Q33","Q34","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_7_TEXT","Q26","Tribe","X","ValidResponse","Q28","Q42","Q24","Q25","Q18","Q19","Q20","Q21","Q27","Q40","Q22","Q23","Q38","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","FilterOut","filter_."
"894","R_3L20CeYMCzpcjvO","Default Response Set","Anonymous",NA,NA,"173.168.1.202",0,"9/19/2019 21:57","9/19/2019 22:13",1,"Qual2790-0826NativeAmerican2","5d844e24-6320-2787-2772-2c5b243fffa8",NA,968,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,6,6,6,6,2,6,6,2,2,6,6,7,6,7,6,6,6,5,2,4,5,5,6,6,4,5,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,2,6,2,6,2,6,2,6,6,6,6,6,5,6,6,6,6,6,2,6,2,5,5,6,6,6,6,2,6,6,5,5,3,4,4,4,4,4,4,4,1,4,4,2,4,4,5,4,3,2,NA,52,"34801",2,4,5,2,NA,NA,NA,NA,NA,1,NA," ","Seminole","Seminole",NA,NA,0,0,4,1,0,2,3,2,0,0,4,2,"No",1,28.00939941,-82.11380005,-1,0,1
"755","R_cASm3UnhJQZXDDr","Default Response Set","Anonymous",NA,NA,"174.72.197.21",0,"9/24/2019 17:59","9/24/2019 19:44",1,"Qual2790-0826NativeAmerican2","5d8aadad-c6f3-6827-f210-ae7114e2fe49",NA,6320,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,5,6,5,4,3,6,5,4,4,4,4,1,6,3,6,5,4,5,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,1,3,4,5,3,1,4,4,1,6,3,5,1,2,4,4,1,2,NA,44,"10013",3,5,2,4,1,NA,NA,NA,NA,NA,NA," ","none",NA,NA,NA,0,0,3,0,0,1,2,2,0,0,2,2,"no",1,36.14729309,-115.2201996,-1,0,1
"544","R_3mlqFzXFCBjsJtM","Default Response Set","Anonymous",NA,NA,"73.31.129.8",0,"9/23/2019 12:23","9/23/2019 12:28",1,"Qual2790-0826NativeAmerican2","5d890d65-6862-f128-aa22-5ba0091ab382",NA,304,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,4,4,5,5,7,6,7,6,5,6,6,7,6,5,3,5,5,5,2,4,3,7,5,4,5,1,3,7,5,6,3,6,4,5,5,7,5,3,5,3,3,1,7,4,6,7,1,7,2,3,4,2,6,6,2,4,4,2,4,3,3,5,7,6,6,7,3,7,5,5,5,5,7,7,6,5,2,6,6,5,3,3,3,7,5,7,6,7,6,1,5,3,3,3,5,2,7,3,2,5,6,3,5,6,3,6,3,4,3,4,5,4,4,3,4,3,6,1,NA,8,"20176",5,5,1,1,NA,NA,NA,NA,NA,1,NA," ","Algonisn",NA,NA,NA,0,1,5,0,0,1,2,2,1,NA,2,2,"Great",1,39.18209839,-77.5358963,-1,0,1
"963","R_cDdctZ9CzhIgoxz","Default Response Set","Anonymous",NA,NA,"24.99.20.131",0,"9/25/2019 13:37","9/25/2019 13:46",1,"Qual2790-0826NativeAmerican2","5d8bc1c5-2ca2-94cf-9abe-6241d6f13099",NA,521,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,7,1,7,1,7,1,7,7,1,7,7,7,7,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,11,"30126",3,4,2,6,NA,NA,NA,NA,NA,1,NA," ","Sioux","Sioux",NA,NA,1,1,5,1,1,2,1,2,1,NA,2,3,"No. I just hope this helps American society improve its treatment of Native American people, land, and culture.",1,33.82290649,-84.35350037,-1,0,1
"764","R_30i2ygzVSvlR44B","Default Response Set","Anonymous",NA,NA,"73.110.41.74",0,"9/19/2019 17:02","9/19/2019 17:19",1,"Qual2790-0826NativeAmerican2","5d8408c9-2af7-baf7-250f-9c7a5c9b05b0",NA,1070,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,4,3,5,6,4,4,4,3,3,5,5,5,5,6,4,4,5,4,2,4,7,1,7,4,7,6,5,6,6,5,6,1,7,7,7,7,7,7,5,5,7,1,1,6,5,5,6,1,7,6,1,6,3,7,6,7,7,6,7,7,7,7,7,6,6,7,6,6,1,7,2,7,2,7,2,7,2,5,2,6,6,1,5,6,7,7,1,4,4,4,1,5,3,4,4,3,6,3,1,7,4,6,6,4,6,4,6,6,4,4,4,5,4,5,5,6,7,1,NA,29,"60463",4,2,1,3,NA,NA,NA,NA,NA,1,NA," ","soiux","Sioux",NA,NA,1,1,6,1,1,1,4,2,1,NA,4,3,"no",1,41.90249634,-87.67259979,-1,0,1
"252","R_1Owqaxc4IIewpRF","Default Response Set","Anonymous",NA,NA,"107.77.213.47",0,"10/17/2019 2:17","10/17/2019 2:49",1,"Qual2790-0826NativeAmerican2","5da8237a-8723-9546-85d5-754ac234e2c5",NA,1897,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,2,7,7,7,7,6,5,6,4,6,1,1,1,1,7,2,6,7,6,7,5,7,2,7,5,7,6,2,7,6,2,5,1,6,6,5,6,7,4,6,7,4,4,7,7,7,7,7,6,7,4,6,2,5,7,6,4,2,2,3,6,5,7,7,7,6,5,6,7,1,7,1,7,1,7,1,7,3,6,2,4,4,4,1,6,7,7,1,5,7,4,1,6,3,2,5,2,3,1,4,1,1,1,7,6,4,3,5,1,1,6,4,5,3,1,2,5,2,2,NA,19,"99504",2,4,3,4,NA,NA,NA,NA,NA,1,NA," ","Choctaw Nation of Oklahoma","Choctaw",NA,NA,1,1,1,0,1,1,2,2,1,NA,2,2," ",1,37.5625,-122.0003967,-1,0,1
"255","R_3IbiUn7bnI0qkPF","Default Response Set","Anonymous",NA,NA,"66.76.107.143",0,"9/23/2019 15:13","9/23/2019 16:06",1,"Qual2790-0826NativeAmerican2","5d89351c-849a-ea87-3030-ff98f45ee050",NA,3150,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,3,2,6,6,3,4,6,2,2,5,2,3,3,5,6,6,6,6,2,6,6,2,6,4,5,4,6,6,6,6,5,2,6,6,2,6,6,6,7,5,2,6,7,6,4,6,6,2,6,6,6,6,4,6,6,6,6,6,6,6,6,4,6,4,6,5,4,6,2,6,2,5,1,6,1,6,6,2,6,6,3,6,4,6,6,4,2,2,1,4,2,5,5,2,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,54,"73703",3,5,5,3,NA,NA,1,NA,NA,1,NA," ","Chrokee","Cherokee",NA,NA,0,0,1,0,1,1,4,3,0,NA,2,3," ",1,36.40280151,-97.86229706,-1,0,1
"745","R_24GA76yeSoQlBLo","Default Response Set","Anonymous",NA,NA,"108.209.18.140",0,"9/25/2019 13:45","9/25/2019 14:02",1,"Qual2790-0826NativeAmerican2","5d8bc39c-89de-6c52-3ab3-6eb681f9a4c3",NA,1016,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,7,4,5,7,6,5,4,5,6,3,4,2,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,6,4,3,3,5,3,7,1,4,1,7,1,7,5,3,5,3,7,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,NA,7,"49009",3,1,2,4,NA,1,NA,NA,NA,1,NA," ","gun lake tribe","Pottawatomi",NA,NA,1,1,6,1,1,1,2,2,1,NA,3,2,"no",1,42.26229858,-85.6147995,-1,0,1
"608","R_2w4snsT71YOMqLG","Default Response Set","Anonymous",NA,NA,"71.221.14.133",0,"9/20/2019 7:12","9/20/2019 7:58",1,"Qual2790-0826NativeAmerican2","5d84d014-d10f-de3f-4cdb-41ffaaa9431b",NA,2714,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,3,4,4,3,6,5,4,4,4,4,5,5,5,4,6,5,6,5,5,3,6,5,3,2,5,3,5,4,5,4,2,5,1,6,6,7,5,5,6,5,4,3,5,5,4,4,5,6,5,6,5,5,3,5,4,5,6,5,5,6,4,5,3,6,5,7,4,4,6,2,7,2,5,1,7,1,7,4,6,5,6,5,2,4,5,5,5,3,3,2,4,3,6,3,4,4,3,4,2,4,3,1,2,4,2,1,1,2,2,1,2,3,1,2,2,4,1,1,2,NA,57,"76539",5,3,5,1,NA,NA,NA,NA,NA,NA,1,"Mixed racial Indian German English Irish. My Great grandfather  was  Arthur Easton","Chickasaw","Chickasaw",NA,NA,0,0,2,0,0,1,3,2,0,0,4,3,"I may not be even a 64 but I  know that it is important that people know the plight of the Indians and their history.  I don't  attend tribal meetings  because I am in a different state, and I  have not established my heritage because my mother didn't want it known.",1,31.03759766,-97.68090057,-1,0,1
"599","R_3RlrfSxS6J1KLN0","Default Response Set","Anonymous",NA,NA,"99.203.28.70",0,"10/24/2019 18:15","10/24/2019 19:26",1,"Qual2790-0826NativeAmerican2","5db23ead-f114-f69a-9fa3-db4c948cd963",NA,4239,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,2,7,7,7,1,4,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,6,6,6,1,2,6,7,1,7,1,7,1,7,4,7,1,2,7,1,7,7,4,7,1,1,1,1,1,1,1,7,7,5,7,6,6,2,1,7,7,7,5,6,6,7,3,7,7,7,7,7,7,4,7,2,NA,25,"74056",5,5,3,5,NA,NA,NA,NA,NA,1,NA," ","Wazhazhe and Modoc and Santee and Cherokee","Osage, Santee & Cherokee",NA,NA,1,1,7,1,1,1,1,2,1,NA,1,2,"I hope this research helps to begin making is more visible in mainstream society and media, we aren't even included in pie charts on the news in our own country. Thank you for this research, it's the first I've encountered which deals with Native issues.",1,39.09970093,-94.57859802,-1,0,1
"1161","R_33pt8HAMMEkeRMJ","Default Response Set","Anonymous",NA,NA,"173.216.198.85",0,"9/25/2019 0:43","9/25/2019 0:57",1,"Qual2790-0826NativeAmerican2","5d8b0c4f-1f83-1578-5de7-7a388a0bfec2",NA,844,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,2,4,1,2,3,3,3,3,3,3,1,3,3,3,4,3,2,6,6,5,7,3,5,5,6,2,2,2,2,2,3,1,2,2,2,2,2,3,5,6,3,5,5,6,5,4,7,2,7,5,1,2,2,3,2,2,5,2,2,2,2,6,6,6,6,2,6,6,2,6,6,6,1,7,1,7,6,1,6,1,7,1,6,7,6,6,1,1,3,1,1,1,1,2,4,3,5,1,5,6,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,2,NA,35,"72830",2,3,7,2,NA,NA,NA,NA,NA,1,NA," ","Creek","Muscogee Creek",NA,NA,1,1,5,1,1,1,3,2,1,NA,3,2,"That the Native American people are very proud people",1,35.30670166,-93.07119751,-1,0,1
"310","R_1I4uR1lHZINTkaB","Default Response Set","Anonymous",NA,NA,"108.207.96.251",0,"10/14/2019 21:10","10/14/2019 21:15",1,"Qual2790-0826NativeAmerican2","5da5389c-ee7b-0888-b3ef-5e87c64d5910",NA,309,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,1,7,1,7,1,6,6,6,6,2,2,2,2,2,3,2,2,4,4,6,2,6,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,40,"60517",6,3,1,1,NA,NA,NA,NA,NA,1,NA," ","Kiowa","Kiowa",NA,NA,0,0,2,0,0,1,3,3,0,0,2,3," ",1,41.69839478,-88.08249664,-1,0,1
